size,dot_product_time,matrix_vector_time
1400,1.894e-6,0.009246421
1400,1.533e-6,0.008954583
1400,1.523e-6,0.009210212
1500,1.823e-6,0.01109958
1500,1.422e-6,0.011143374
1500,1.784e-6,0.011130951
1500,1.703e-6,0.012949855
1500,1.663e-6,0.011082678
1500,1.673e-6,0.011269595
1500,1.964e-6,0.011350741
1500,1.744e-6,0.013926976
1500,1.363e-6,0.011028685
1500,3.196e-6,0.011429631
1600,1.794e-6,0.013783336
1600,1.874e-6,0.014521336
1600,1.452e-6,0.012969542
1600,1.813e-6,0.013368685
1600,2.515e-6,0.013223488
1600,1.743e-6,0.014796372
1600,1.623e-6,0.013109519
1600,1.583e-6,0.013455501
1600,1.684e-6,0.0135914
1600,1.714e-6,0.013772746
1700,1.713e-6,0.014822782
1700,1.854e-6,0.014556513
1700,1.924e-6,0.015886194
1700,1.853e-6,0.01455483
1700,1.833e-6,0.014821069
1700,1.843e-6,0.014682545
1700,1.843e-6,0.014291808
1700,1.764e-6,0.014757478
1700,1.733e-6,0.015528069
1700,1.853e-6,0.01631911
1800,1.884e-6,0.014945537
1800,1.854e-6,0.014563858
1800,1.873e-6,0.016063662
1800,2.024e-6,0.015054825
1800,1.633e-6,0.014911702
1800,1.914e-6,0.016106745
1800,2.114e-6,0.015026952
1800,2.274e-6,0.014545893
1800,1.593e-6,0.017237995
1800,2.756e-6,0.015129638
1900,1.994e-6,0.018594316
1900,1.724e-6,0.01941324
1900,1.883e-6,0.018360028
1900,1.973e-6,0.018071177
1900,2.275e-6,0.019301777
1900,1.963e-6,0.018333248
1900,1.884e-6,0.018364957
1900,1.954e-6,0.018088931
1900,1.884e-6,0.018438027
1900,1.934e-6,0.018163112
2000,2.114e-6,0.018975774
2000,1.913e-6,0.018606529
2000,1.974e-6,0.021561814
2000,2.034e-6,0.018568426
2000,2.044e-6,0.018920198
2000,2.063e-6,0.018657156
2000,2.264e-6,0.019729495
2000,1.994e-6,0.021415354
2000,1.974e-6,0.019046084
2000,2.104e-6,0.018206576
2100,2.174e-6,0.021907895
2100,2.164e-6,0.0216017
2100,2.274e-6,0.023809297
2100,2.195e-6,0.021403562
2100,2.024e-6,0.021611579
2100,1.994e-6,0.021554791
2100,1.803e-6,0.023037092
2100,2.134e-6,0.023809457
2100,2.054e-6,0.025262919
2100,2.125e-6,0.022107326
2200,2.465e-6,0.021745425
2200,2.435e-6,0.021637538
2200,2.094e-6,0.023431315
2200,2.024e-6,0.021719855
2200,2.414e-6,0.023324761
2200,2.274e-6,0.021791854
2200,2.174e-6,0.023766074
2200,2.294e-6,0.021626067
2200,2.324e-6,0.02351236
2200,2.405e-6,0.021954284
2300,2.675e-6,0.028280727
2300,1.994e-6,0.026730687
2300,2.384e-6,0.0290514
2300,2.365e-6,0.026904259
2300,1.944e-6,0.02877434
2300,2.324e-6,0.027310123
2300,3.496e-6,0.031158273
2300,2.705e-6,0.027179754
2300,2.274e-6,0.02834531
2300,2.404e-6,0.026074524
2400,2.504e-6,0.029505987
2400,2.475e-6,0.027827732
2400,2.335e-6,0.027249377
2400,2.254e-6,0.027367413
2400,2.435e-6,0.027360189
2400,2.484e-6,0.027293472
2400,2.314e-6,0.027374707
2400,2.304e-6,0.027411446
2400,2.395e-6,0.028151439
2400,2.505e-6,0.027671612
2500,2.415e-6,0.030779378
2500,2.394e-6,0.032040868
2500,2.224e-6,0.031293089
2500,2.204e-6,0.031661273
2500,2.485e-6,0.031148012
2500,2.434e-6,0.031980782
2500,2.264e-6,0.031533078
2500,2.585e-6,0.031496297
2500,2.345e-6,0.031432546
2500,2.315e-6,0.031824194
2600,2.354e-6,0.031984058
2600,3.837e-6,0.031833792
2600,2.865e-6,0.030895399
2600,2.394e-6,0.031254947
2600,2.325e-6,0.030655121
2600,2.725e-6,0.030988617
2600,2.454e-6,0.030935447
2600,2.475e-6,0.030950014
2600,2.555e-6,0.031386788
2600,2.675e-6,0.031020429
2700,2.756e-6,0.038129486
2700,2.484e-6,0.039469275
2700,2.725e-6,0.036297468
2700,3.056e-6,0.035999488
2700,2.304e-6,0.038009278
2700,2.775e-6,0.035855834
2700,2.705e-6,0.036765671
2700,2.766e-6,0.037427486
2700,2.715e-6,0.036251208
2700,2.876e-6,0.035682904
2800,2.374e-6,0.036983247
2800,2.886e-6,0.035320401
2800,2.745e-6,0.035473634
2800,2.565e-6,0.036763507
2800,3.376e-6,0.035689607
2800,2.495e-6,0.035148863
2800,2.515e-6,0.037223226
2800,2.735e-6,0.03503767
2800,2.675e-6,0.036050786
2800,2.275e-6,0.036646183
2900,3.016e-6,0.041080413
2900,2.756e-6,0.040999418
2900,2.494e-6,0.043140208
2900,2.264e-6,0.041528819
2900,2.585e-6,0.041768427
2900,2.565e-6,0.043133333
2900,2.715e-6,0.041409902
